UniProt_ID,pubchem_cid,kiba_score,bound
P07949,70812868,,0
Q9NR97,10596233,,0
P10415,117874168,8.37,1
Q06187,90310901,,0
P10415,87279680,0.257,1
P35372,15986936,,0
P42345,44819199,0.355,1
P56373,118683478,7.92,1
O60674,90369577,2.19,1
P09619,118979898,,0
Q92731,91515977,2.19,1
Q05655,155552127,1.18,1
P04629,53304826,,0
P35968,16220354,7.145,1
P29375,57658907,,0
Q9Y233,53250649,6.07,1
P00533,134139584,0.878,1
P28482,92044710,0.298,1
P06276,71813673,,0
P10980,20242416,,0
P25929,90443264,,0
P41143,51003505,,0
Q9NYK1,71667153,,0
C7C422,4091,,0
Q9Y5Z0,86581548,1.55,1
P08473,89523073,4.55,1
P05556,53251552,,0
P47820,12805608,1.15,1
O00329,90166560,2.09,1
Q15375,70685192,,0
Q923Y8,66562957,,0
Q92847,57391293,0.427,1
P36888,5360741,0.601,1
Q9UHD2,23647590,,0
P33535,134133066,,0
Q9UBN7,118191697,,0
Q16790,89477054,,0
O60674,1287122,,0
P19320,11023935,11.5,1
P51449,155556277,,0
Q00535,44259,12.0,1
Q5U3Y7,68182254,,0
P08253,22485396,0.254,1
P08069,68060030,8.37,1
P29275,25192870,,0
Q14680,44458906,,0
Q10469,6481518,,0
Q9NYK1,132272700,0.313,1
Q9UK32,164609169,11.9,1
P04439,44345615,7.55,1
Q07869,126669001,,0
P25105,118127888,,0
Q9JJ16,141486912,,0
P33535,9845693,3.28,1
Q9HBH9,129052029,2.7,1
P21396,44398339,10.2,1
P11309,71253913,1.32,1
P04757,59837609,,0
Q9Y233,56594507,,0
P43235,132272166,,0
P23458,129269535,1.92,1
P53634,90430770,2.75,1
P49674,54762001,11.9,1
P00742,126962152,,0
P53634,72793034,,0
Q14123,10195108,,0
Q12852,72706274,,0
P01375,66547110,,0
P41145,86767133,,0
P49355,89423243,,0
P52333,44593463,,0
O00329,118716809,,0
Q923Y8,118484954,6.3,1
Q15761,16741245,,0
P20309,59179619,0.0442,1
P00742,44456386,1.41,1
P04585,127048059,,0
P41146,164628753,,0
Q9MYW9,145964739,6.01,1
Q14680,87121352,7.0,1
P41597,10007642,1.07,1
Q15858,124222089,6.07,1
P41144,49872933,,0
P25774,5287468,11.8,1
Q9HBH9,117793039,0.601,1
P52699,66834208,,0
Q92542,25263470,0.319,1
O00329,164626009,0.43,1
P05556,44232495,0.0354,1
O43497,118560613,0.823,1
P20309,127049276,,0
P49768,44446158,0.151,1
O15379,162657089,0.254,1
P28482,155534523,,0
P04035,24944096,6.07,1
P01283,91899031,1.87,1
O00767,24829560,6.53,1
P41145,44541249,1.29,1
P19327,76281180,,0
P78527,118954921,9.16,1
P35968,22978065,0.0539,1
O15530,44577925,,0
Q96Q15,54670856,,0
O60674,117665921,,0
P23458,58394959,5.59,1
P33535,54669894,0.573,1
P23944,130278276,,0
P20292,90313370,5.17,1
P51948,19010876,,0
Q16539,86295250,,0
P15145,70695253,3.66,1
Q923Y9,11260400,,0
P25103,137018450,,0
P34995,155431638,,0
Q92542,70691836,,0
P97266,67972174,,0
Q9P289,58073740,,0
O60885,121422506,2.7,1
P22455,44329061,,0
P13612,44376590,8.69,1
P35439,6604887,7.88,1
Q05769,162674195,,0
P48067,155517381,,0
P52333,124157188,,0
Q02108,15698032,,0
Q9UKE5,5722277,,0
P11715,138393353,,0
Q02127,24986825,9.28,1
P33535,15931158,0.049,1
P27815,44282109,7.92,1
P45452,54577895,,0
P56524,71230924,1.04,1
P56373,68020405,11.9,1
O00329,164626971,0.651,1
P00918,118380767,,0
P20309,90666117,5.73,1
Q9Y233,58548303,0.313,1
P52333,134130676,,0
P47811,11826801,4.17,1
P23977,10404283,3.0,1
Q06187,136928140,6.53,1
P35372,21190844,,0
Q5S007,71577480,2.45,1
P56817,67979363,2.85,1
Q92847,9987036,4.23,1
P21728,136950756,,0
P45452,44393897,0.248,1
Q9UHL4,44382134,10.6,1
P00918,118617086,,0
P04629,122632316,,0
P30411,44190851,2.55,1
P27986,9884685,6.67,1
O00408,137245449,6.86,1
P81908,10959857,,0
Q9BUB5,71538106,5.6,1
Q9UGL1,18542229,,0
P23458,89462595,0.0685,1
Q99720,42635502,,0
Q99720,58329415,,0
P03372,44389896,1.49,1
P20309,14977370,,0
Q9UM73,155516368,11.2,1
P19643,3076090,1.15,1
O60885,87316090,,0
P35354,22912115,7.92,1
P45452,44302500,,0
P50406,44568543,,0
P42345,44590385,,0
Q92542,9929101,,0
Q99572,10765267,,0
P21728,21049006,,0
Q9UBN7,24881405,1.47,1
P49286,127041169,11.1,1
P00918,54767990,,0
P35367,44318842,3.14,1
P15121,15713959,9.28,1
O55242,10524624,,0
P02358,90414882,,0
P28482,91931331,,0
P20272,45272121,1.53,1
P53634,89472119,6.07,1
P09874,117926928,,0
O00329,45555989,,0
P08254,16745663,,0
P32238,118723141,,0
Q12884,156869976,0.47,1
P03372,11646372,,0
Q923Y8,2056588,,0
P28221,68058549,,0
O60674,118522715,0.179,1
P17252,16110391,7.85,1
P36888,59627683,,0
P28845,71454920,2.19,1
P15056,118537853,,0
P35563,118735572,,0
Q9Y233,72724856,2.62,1
Q16790,121277641,,0
Q92847,25227441,0.0541,1
P36888,10138259,3.7,1
Q9Y618,24938735,3.98,1
P35354,44332400,,0
P51639,71611246,,0
P25103,16091079,,0
Q9H5I1,135335127,6.91,1
Q14416,72725107,,0
P0DMS8,44410406,1.55,1
P29274,24894065,2.98,1
P56817,44308485,,0
P00519,137646375,,0
O43570,118725250,,0
P43235,11668719,,0
P30411,1460659,,0
P35968,11625929,0.601,1
P30969,44352512,2.19,1
P50750,145975607,0.601,1
P0DMS8,44410561,2.62,1
Q9GZT9,72737642,7.0,1
P09874,25002581,7.29,1
P23458,136491511,3.09,1
P11802,58299814,5.6,1
P41146,118711489,0.604,1
P00918,73352124,1.92,1
P23975,44414749,10.2,1
P11229,118146039,,0
P28482,162653231,,0
P35968,156010553,,0
P04629,126963010,4.63,1
P06881,9796137,,0
P15056,136980517,,0
P35372,46227967,0.521,1
Q9Y2D0,135156469,,0
P25774,49864412,,0
P00747,122179836,7.92,1
P49674,11688314,,0
Q8MMZ8,44410599,0.141,1
P22607,124221838,,0
P05771,44394355,1.15,1
Q9NWZ3,56679784,,0
P30542,16109432,2.98,1
P48736,10238566,,0
P49761,5478,,0
P21452,11491576,1.9,1
O00329,45268586,,0
P47811,10896702,0.0624,1
Q9NWZ3,145954758,,0
P27338,105628719,9.73,1
P35968,164612610,7.46,1
O60674,58177328,1.68,1
Q04759,58325113,1.52,1
P19785,46190678,,0
P20309,11637076,,0
P56817,10250190,,0
Q6ZN18,57698258,,0
P41145,89447185,,0
O43570,44279739,,0
Q15858,70681064,9.73,1
O43613,71565877,1.15,1
Q02750,71456182,,0
P34972,11154964,4.31,1
Q9Y233,53328250,5.13,1
P31639,71078416,0.44,1
Q15761,24960672,,0
Q27713,72712336,,0
Q96KS0,90246728,,0
O00459,134373006,6.07,1
Q64640,90395630,,0
P08253,10047100,0.234,1
P50750,76325899,,0
P43405,71241960,4.12,1
P33032,91929810,3.66,1
P35968,122633900,,0
P27815,10128917,0.132,1
P36888,118439821,1.47,1
P00734,44338385,0.544,1
O43570,44354362,,0
Q07343,46905546,,0
Q9Y463,135145674,5.13,1
Q27793,46844540,7.61,1
O43614,145977309,,0
P29702,73507151,,0
P03372,44407827,11.5,1
Q64373,46835005,1.67,1
P09874,141466177,8.83,1
P28221,10526737,3.59,1
P00533,134142952,2.24,1
P15428,66882257,,0
P36888,16759177,,0
Q06187,132231781,0.0814,1
P05106,135414361,,0
P25774,44362485,,0
Q9Y233,60165102,1.52,1
P03303,145967471,4.17,1
Q8WW43,44440652,2.19,1
P51449,67126737,,0
P43235,44592218,,0
Q96BI3,4976593,,0
P19793,46228521,,0
P31639,136086917,,0
P00915,49864074,,0
P35408,23661189,0.558,1
P51449,118187593,4.04,1
O75908,71560676,0.487,1
P00742,134142161,,0
Q01726,122184640,4.84,1
Q9NYK1,132271922,0.194,1
O70536,70685992,,0
Q99808,46877135,0.712,1
P20272,68039355,,0
Q95323,46230607,,0
P41597,10325032,3.19,1
P35916,155547248,11.1,1
P97266,73345652,11.1,1
Q9Y271,16391032,,0
P25100,44294569,1.07,1
P54750,44370769,,0
P35610,44578332,9.73,1
P49682,68309298,,0
Q7Z2W7,134131637,,0
P27487,137649399,,0
Q16539,90029467,,0
P16610,18964186,1.15,1
P20292,155452036,,0
P03956,155557159,,0
O43497,134134030,11.9,1
P04150,53359074,1.97,1
P35372,155533321,0.156,1
P04629,73353396,,0
P25774,49862472,7.46,1
P56817,126554901,1.78,1
P49356,44455452,,0
P28845,129140176,,0
O00763,45485771,,0
P08908,10396918,,0
P50406,10205655,5.17,1
Q9UDY8,118540126,0.00612,1
P47989,13040879,,0
Q62986,9846731,1.52,1
P35968,121371445,4.54,1
Q15858,145972807,2.6,1
O43614,162666203,,0
P52732,71748280,10.2,1
P30938,10124376,7.84,1
P09874,56950425,,0
P09874,25118355,5.17,1
P51639,91928863,3.19,1
O60674,15819326,,0
P45452,44391352,0.601,1
P41143,44396344,,0
Q9NRG4,10505477,,0
P29274,21874721,2.71,1
Q8NER1,25181770,11.1,1
P45452,49804506,,0
Q05397,129247298,,0
Q2M2I8,155568736,,0
P42345,117950811,,0
P50406,137636800,,0
P08908,44284483,,0
Q14416,193350,,0
Q9NWZ3,52914172,,0
Q96BI3,44328955,,0
P42336,6409664,,0
P28482,66585104,,0
P51449,15944574,11.9,1
P43235,59548200,,0
P41143,130278423,,0
P10980,40425143,,0
P35372,44332908,,0
Q16769,155521646,9.46,1
P08069,10135786,9.79,1
P56373,57802610,,0
Q9Y5Y4,66570910,0.601,1
Q9NWZ3,90155332,3.39,1
O00329,132209910,1.15,1
P17752,58413392,,0
P56373,24947705,,0
P01375,46198533,2.71,1
Q96BI3,44443991,6.53,1
O75116,102340761,,0
P08909,91931626,8.01,1
P00746,118053487,7.46,1
P27338,58073024,,0
P42345,145985971,,0
P00742,10091045,,0
P12527,14977380,5.6,1
P50579,1565307,,0
O75173,71625962,,0
P61169,10762810,0.326,1
O09114,10045570,3.19,1
P30543,118719026,2.71,1
P41146,42643642,,0
P27487,45263688,8.26,1
P19099,136215068,0.43,1
P41145,56668265,2.58,1
P11309,53321232,,0
P08908,67775989,,0
P52699,44456424,,0
P15328,135567028,1.05,1
P56817,11505418,3.17,1
P09619,121254592,9.28,1
P00533,9884654,0.601,1
P41145,71585323,1.23,1
P51449,935612,,0
P27815,16755734,,0
P03372,134453558,0.785,1
Q9Y5Y4,127033599,7.0,1
P52699,51001177,,0
P23458,90367195,1.68,1
P32300,122188799,8.7,1
P35968,156018644,,0
P41968,118274462,,0
P53350,5467768,,0
P51948,162670604,9.73,1
P08709,404197,,0
Q16665,44325614,,0
P23458,118390041,1.68,1
P15056,57344795,8.37,1
P41145,135502634,,0
P51681,68060162,,0
Q16790,743063,,0
P42336,71042076,3.33,1
P10415,90646226,1.94,1
P36888,10644309,,0
P16753,52900120,,0
Q16853,17755216,,0
Q9H093,68191477,,0
P03372,155565326,,0
O60674,44313381,,0
O00329,71461346,,0
Q8WXS5,134457790,2.7,1
P22455,68209029,6.34,1
P27958,117952632,,0
Q9Y5Z0,66557907,2.19,1
P10415,127047073,,0
Q92847,134153654,0.0942,1
Q2NNR5,72195058,,0
P00734,90389165,,0
P35372,71719454,0.035,1
P07949,134537177,,0
P04150,135559128,,0
O95835,135368051,0.601,1
Q63844,11180344,,0
Q13490,117914853,0.601,1
Q16539,44455675,,0
P36888,9897907,,0
P09581,162665729,,0
Q60492,76314455,,0
P28845,819258,,0
P19099,6540038,8.24,1
P19327,134140476,,0
P16235,155516586,,0
P14600,10739445,,0
Q9Y233,71584103,,0
P14780,118731259,11.1,1
Q15118,127034855,5.13,1
Q9NYK1,145955102,,0
P00519,118195201,1.68,1
P45452,57403445,1.26,1
Q921V5,122362720,9.73,1
P00519,11797883,,0
Q8WW43,164622155,,0
Q10469,118362570,7.23,1
P31644,16679250,,0
P52333,118116274,4.0,1
P14780,73673068,,0
Q14416,44404762,,0
P14867,893637,,0
Q9HBA0,137646962,1.36,1
Q15858,14873701,,0
Q99500,71577389,,0
A4D1B5,10275001,,0
P14780,44434464,,0
Q9UKE5,44335468,,0
Q63844,89509229,0.189,1
P12931,118368221,,0
Q60492,90166471,,0
P28221,10839082,3.04,1
P42785,59374311,,0
P11802,138805809,,0
P35968,42609478,,0
P35968,52942518,3.73,1
O00767,90452059,,0
P04629,118392844,10.2,1
P35367,155549599,4.6,1
P00918,162660277,,0
Q9NR97,11257957,,0
P12931,155432267,4.17,1
Q9NWZ3,118719436,0.157,1
Q8TF76,71711508,,0
P52699,135150122,0.84,1
P51449,118180853,1.4,1
Q9NWZ3,90155422,0.987,1
O75164,11729079,,0
P23944,121413462,,0
P49356,9931146,4.05,1
P53779,137656311,11.9,1
O60885,81689780,,0
P52333,46864703,3.39,1
P97266,44414829,1.03,1
O43613,118127321,4.17,1
P48067,56836904,1.15,1
P53609,11377266,10.9,1
P56817,127042867,,0
Q9UL62,118863119,0.853,1
P48736,117990510,,0
P35917,216239,9.73,1
P0DMS8,162676711,4.42,1
P33981,67959880,,0
P00734,89596195,,0
P08909,45112462,1.51,1
P46098,139339318,,0
P05556,23648174,0.197,1
O00763,10370226,,0
P31749,118159079,1.04,1
P50406,25263342,4.48,1
P07858,50994058,0.724,1
Q9UBN7,57382294,2.7,1
P27487,162647876,,0
O00400,71454076,,0
P28482,50830278,,0
P42345,58073678,5.6,1
P54750,132273343,4.17,1
P01375,58041985,0.632,1
P08069,25079271,,0
P19099,150802389,,0
P00746,52946149,,0
P43681,71457136,0.312,1
P07384,118263633,,0
O15379,162650942,1.74,1
P30419,122441885,,0
O96017,85875,,0
P04629,11346089,,0
P56704,118707290,,0
P42346,2527254,,0
P20272,21911457,,0
P25774,59543520,6.53,1
P97629,134172944,1.1,1
P00918,10874216,0.663,1
O15379,162662875,2.55,1
P49810,67607867,5.6,1
P23975,86687572,,0
P56373,58578482,2.7,1
P11802,2295854,,0
Q92793,132186890,1.83,1
Q15022,135332315,0.0685,1
P21802,145987295,,0
P78527,118954879,9.16,1
P20309,16086005,1.41,1
P08592,90155213,,0
P43681,4124851,,0
P04629,145990640,,0
P25099,127051537,,0
P53634,90430803,4.55,1
P15056,71720361,,0
P51685,74223018,,0
P43405,362735,,0
P07861,91928813,6.07,1
O60674,50993881,4.65,1
Q86V86,2952899,,0
P51144,9850582,9.92,1
P00918,122184936,2.05,1
Q7Z2W7,118234669,0.43,1
O00519,85469681,0.372,1
P49892,86715877,,0
P10608,44417806,,0
P97612,24799820,2.45,1
P21453,126563516,,0
P42338,56832510,7.34,1
P43235,44578483,,0
P19327,44363591,9.28,1
Q14416,131636404,3.88,1
P49327,10652143,,0
P48736,162663726,0.36,1
P51449,44353451,,0
P20292,90314611,3.79,1
P18894,71270196,1.1,1
Q15761,44139234,1.15,1
P17948,1101716,,0
Q9QYJ6,53466375,2.7,1
P35968,71819147,,0
P00918,122189301,7.86,1
P07949,1475,,0
P50750,155524395,,0
P11309,46178529,0.601,1
P14600,138454765,,0
O75116,118642003,,0
O00329,137093061,,0
P23458,65894,,0
P30553,118187339,,0
Q00788,73351588,7.31,1
P52333,44560401,,0
P31749,118159080,1.62,1
P23458,10454685,,0
P23977,71461713,,0
Q06187,23654862,,0
P27815,119057330,,0
P97612,142427824,,0
P11309,58303637,6.53,1
P23977,29334,,0
Q08210,122678536,,0
P15085,68261178,,0
P00742,155533337,,0
P56817,4188525,,0
C7C422,118266304,0.862,1
C7C422,130442473,,0
P56373,87476865,,0
P12931,155532739,,0
Q60492,58300077,,0
P25103,10641624,,0
Q9Y463,135145478,5.13,1
P48067,134437877,,0
P49768,118389864,2.65,1
P14867,25141260,1.01,1
P42345,58379662,4.37,1
O43570,44390002,4.48,1
P21918,24860515,,0
P42345,10638841,,0
O60674,118523208,2.07,1
P29275,71450006,,0
P03372,10215089,2.8,1
Q923Y9,71087794,9.89,1
O00329,10077296,,0
P30874,54499941,,0
P25024,16098488,5.6,1
P21802,68209104,1.05,1
P15056,44579029,,0
Q03181,16072558,,0
O43570,155534179,5.31,1
P12931,5328933,0.713,1
P11511,156010574,,0
P08172,70685503,4.43,1
P27986,2931382,,0
O60674,50997667,0.0837,1
P18901,44434508,,0
P15056,90413989,,0
P31213,44275674,0.0685,1
P10415,46234326,0.495,1
P51449,118966406,,0
P21728,10601891,,0
P42336,46917574,8.37,1
P00533,25195274,0.601,1
Q9R0C9,10716898,5.6,1
P11309,58483626,,0
P00915,11502255,,0
P30542,71715389,,0
P22455,445459,,0
O00329,3351335,,0
Q01959,68994365,5.77,1
P27338,44296278,9.73,1
P13726,122451516,,0
P29371,44550460,11.5,1
P52333,121409617,,0
Q06187,140635787,3.19,1
P05091,11301354,,0
P06276,127043878,7.5,1
Q10469,122362849,10.6,1
P10275,76336159,,0
Q8MMZ8,45139404,,0
P25103,44444669,0.0942,1
P12504,49855337,,0
P08069,53325637,11.9,1
P29375,118683439,,0
P06213,134449983,1.94,1
P42336,145965682,9.73,1
P18084,10416726,1.88,1
P17787,6447922,,0
Q9Y5Y6,162648726,,0
Q923Y8,51357233,,0
P35968,46182735,0.601,1
P42785,51357316,,0
P08908,129085359,,0
P25105,44284535,9.73,1
P48067,46882028,,0
O75173,53322879,0.418,1
P08482,3661,0.429,1
P07900,57394550,,0
P49841,16046126,6.53,1
P10415,44404164,,0
P11309,89783296,1.3,1
P49674,137648623,,0
P09874,9931954,4.41,1
P15056,91896043,2.24,1
P61169,10184971,,0
Q8NER1,25063599,0.969,1
P21453,58267737,,0
P08908,72699690,5.03,1
P23458,136227345,5.72,1
P09483,73350672,3.56,1
P23458,117950328,2.03,1
P00742,10253331,,0
P48067,155539394,,0
P30968,54689640,,0
P22455,135921041,,0
Q16790,155556062,5.03,1
P16257,136213101,,0
O60674,56954236,,0
P20831,129237105,1.76,1
Q13822,57394415,,0
P19327,71462043,2.05,1
Q9NWZ3,90155390,1.68,1
P22607,134148365,5.32,1
P42345,58072792,0.584,1
O15379,69087005,,0
P23458,59452764,,0
P20292,90310949,5.17,1
Q14524,137635615,,0
P30411,91668622,,0
P29371,58312651,8.01,1
P27986,124194499,0.124,1
C7C422,118429898,,0
Q64663,46226124,,0
P11309,11407950,,0
P00742,11797436,,0
P27487,46876334,,0
Q8NER1,137634936,1.79,1
P11309,136217524,,0
O60885,137529534,2.7,1
Q9Y5Z0,71532019,5.59,1
P31749,70818071,1.73,1
P07861,53469449,,0
P20309,24901664,,0
O75874,140267835,3.19,1
Q8WW43,44435367,6.07,1
Q01959,44421414,10.2,1
O94925,20708108,,0
P45983,3826467,,0
P17948,145949428,11.9,1
P23977,71151996,,0
P08631,53348187,3.34,1
P08253,70874605,,0
P36544,25182691,1.03,1
P19784,52943286,,0
Q06187,44560846,,0
O60563,10406267,,0
C7C422,14127085,,0
C7C422,10696705,,0
Q99572,16679685,6.34,1
P00918,138752697,,0
P12504,69086824,4.46,1
O00141,136213360,2.85,1
P49841,11560568,0.0382,1
P20272,25055546,0.254,1
P00742,9958614,5.6,1
P41146,15512237,0.331,1
P16257,872878,,0
P00533,134141947,11.5,1
Q15858,124221966,11.5,1
Q60F97,140781228,,0
P37231,44399972,9.73,1
Q8WW43,118389909,3.19,1
P21453,162650548,12.0,1
P33535,127033539,,0
Q9UK32,164621116,7.46,1
P47869,44364147,,0
P53634,90430798,7.0,1
Q15761,1132,,0
P45452,44420195,,0
Q9Y5Y4,72948336,0.768,1
P19784,72948863,0.296,1
P10398,5924208,7.27,1
Q62986,136029159,,0
P49682,56663563,7.92,1
P36888,44431513,,0
P31749,130363720,,0
O15075,118687444,1.15,1
P25099,44425844,,0
P07099,9806525,,0
P32307,73350258,4.48,1
O76074,73213605,11.0,1
P35968,16221375,3.06,1
P23443,89442431,3.09,1
Q07889,155556395,5.13,1
P43236,11512144,0.485,1
P12504,69086910,6.53,1
P03952,124131882,2.48,1
Q9NRG4,162675472,8.37,1
Q16769,24210102,,0
Q10469,117723548,8.14,1
P11309,89783465,3.24,1
P32300,56683126,10.6,1
O43613,89560478,3.19,1
O60674,89471414,2.95,1
P97612,71718997,,0
P48039,118664834,,0
P46098,89927840,0.49,1
P50406,68109120,5.17,1
Q96KQ7,145979238,,0
P27448,11965686,,0
P03952,10236477,,0
O00329,71534758,,0
P20248,69086922,,0
P43681,3073763,0.0303,1
P04191,57336562,,0
P46098,58365731,,0
P23458,117667613,,0
P43166,126507182,0.967,1
Q06187,118173609,1.04,1
P48147,11198569,0.701,1
P06239,16086077,0.372,1
Q15761,10465727,,0
P31639,16756841,,0
P23458,49797356,,0
P04629,118393991,5.1,1
P78527,145978012,,0
O60674,44280416,,0
P25103,101195496,1.53,1
P00519,71115370,0.907,1
Q16678,68388405,,0
P13726,42602174,,0
P41143,127028324,0.474,1
O00444,5359485,0.578,1
P51681,25107582,,0
Q05655,118096623,,0
Q99572,136629528,10.2,1
P15056,46879084,,0
O55242,132164974,,0
O60674,44655581,,0
Q07817,11333634,,0
P43405,89866752,6.07,1
Q13639,57698188,,0
P21452,9953599,0.331,1
P27487,27447,,0
O14965,11592600,,0
P40337,11525874,,0
O60674,59151856,,0
P42345,78319309,,0
P23458,57391767,,0
P97266,134153767,,0
P11217,44342773,9.68,1
Q9ULX7,126507913,11.7,1
P29275,90158002,,0
Q9Y233,86346076,1.15,1
P47900,129139920,,0
P21398,132260127,,0
P51681,5275763,3.9,1
O70342,71519004,10.7,1
Q9H7Z7,44390981,3.19,1
Q2M2I8,155524763,,0
P30874,91937131,,0
Q16790,135738649,,0
Q13258,44411814,4.48,1
P10721,44593618,,0
O00763,73292727,7.92,1
P00918,127027506,,0
P09619,11719537,2.7,1
P13612,70981947,,0
P21802,89534139,0.851,1
P29375,121279436,0.075,1
P31749,49865308,,0
Q9HBH9,13817938,,0
P23977,44342450,3.78,1
Q9Z2A7,118731742,,0
P97612,134143952,,0
O60674,90389598,,0
Q63931,5311400,0.815,1
P20309,121397479,,0
O15379,86290795,,0
P23385,16659805,0.544,1
O75907,164618429,,0
P00747,49796204,,0
P04585,44364017,,0
P33981,134435176,,0
Q9NR97,57396724,,0
P41597,24894989,,0
P56524,71458561,1.68,1
O00329,155534964,,0
Q8NER1,57770412,3.68,1
Q96BI3,23661672,2.7,1
Q07343,122668833,2.95,1
P11309,66562366,,0
O70536,58455962,,0
P00533,54758423,,0
P10415,71765626,,0
Q9Y5Y6,71562763,,0
P47869,25133381,11.4,1
Q13255,57559437,3.68,1
Q9GJT6,44422781,3.19,1
P23458,89473523,0.43,1
Q9H244,11516085,,0
Q63844,56591420,0.486,1
Q9Y5Y4,89649210,3.24,1
P25774,23648334,3.66,1
Q9UBU3,24969603,6.58,1
Q99572,16678807,9.7,1
P21728,46216855,1.03,1
P11309,124201727,,0
P00352,142581225,9.5,1
Q14416,53375151,,0
P21675,155512404,,0
Q923Y8,71086951,4.48,1
P21917,25071692,7.58,1
O43613,91932659,,0
P08069,91754889,,0
P56373,121295460,9.28,1
O00141,134138144,,0
Q16539,118575074,,0
P21453,53340795,1.83,1
P19327,86716289,,0
P28221,10318813,,0
Q9Y5Z0,44447293,,0
P00523,9803993,,0
P33032,57634921,6.72,1
Q06187,57398205,6.16,1
O43614,10888251,,0
P13631,112500371,,0
P21556,91928673,1.88,1
P03372,49860710,,0
O70526,89476631,,0
P43405,89866736,4.31,1
P41144,44394963,,0
P00742,50919257,3.79,1
Q96BI3,66679405,8.37,1
Q8NER1,89944800,,0
P19793,86299022,,0
Q9Y233,118658065,1.26,1
P30542,46885992,3.28,1
Q9NWZ3,134142622,,0
Q9Y233,156021163,,0
P31213,52945709,,0
P56373,71542637,,0
P48039,10661735,0.392,1
O60674,44409334,,0
P49841,46880300,3.39,1
Q96RI0,54583932,,0
P49768,24865064,0.561,1
P35375,162674239,,0
P22455,58197499,,0
Q9NYK1,132272253,4.89,1
P32240,57395059,1.79,1
P41145,25256965,0.115,1
Q9Y463,5289109,,0
Q15349,1510390,,0
P30543,44421273,9.46,1
Q923Y9,71087087,1.15,1
P05106,121380011,,0
P11802,58299590,2.95,1
P13866,90656994,0.768,1
P05093,121225077,,0
P00374,44179375,,0
Q06187,76903135,2.04,1
P07384,56675168,,0
P09874,25190731,6.58,1
P35968,130232399,,0
Q9Y233,86270673,7.87,1
P35968,121403206,,0
Q96RI0,68003962,,0
P00742,122296,,0
P24864,71572464,,0
P43166,87814574,,0
Q16790,71233776,,0
P05888,441243,6.58,1
O94782,137049113,,0
P30969,1744577,,0
P27487,57641262,2.85,1
P12931,44422489,6.53,1
P25774,67239649,,0
P32249,71460655,,0
P41144,68527699,,0
Q96C86,25003843,0.0286,1
P52699,135368543,,0
P80457,59477731,11.6,1
P36544,134135529,,0
P12931,54766808,10.6,1
P31639,60169143,4.41,1
Q9HB89,145960563,0.26,1
P47871,89445398,,0
P46925,67440621,,0
P41146,132253248,,0
P21917,9950165,0.663,1
P17752,11054448,,0
Q9UBN7,127031757,9.73,1
Q99572,11661609,,0
P20292,90313660,6.58,1
Q9Y233,60164352,5.13,1
Q9Y233,91502450,,0
P07949,11178340,,0
Q06187,118195146,,0
P41143,155526524,,0
P31639,71654791,,0
P05771,13975398,,0
Q9H9B1,137654447,8.83,1
P49286,7174615,,0
P20272,46231344,2.75,1
P15056,117625295,,0
P30542,44336767,,0
P12504,69087006,4.7,1
P14740,9800721,6.58,1
P41143,57401137,2.55,1
P11766,118978843,11.5,1
P31749,14476492,,0
Q16539,89708476,,0
P08069,68059625,5.13,1
P11309,90072533,0.00275,1
Q06187,4437,,0
P04629,118393481,1.57,1
P51639,45273131,,0
Q9Y5Y4,76328965,8.93,1
P23458,118522855,0.556,1
P35439,11796465,11.5,1
P27487,44444377,6.07,1
P41145,9804961,,0
Q9NR97,566479,,0
P35968,118737147,,0
